id,s2_doy,doy,main_stage,main_stage_percent,secondary_stage,secondary_stage_percent,root_est,leaf_devel,squaring,flowering,boll_devel,boll_open,metalabel,sowing_date,harvest_date
7,225,226,5,100,4,60.0,0,0,0,1,2,0,12,28/4/2021,19/9/2021
7,235,236,5,100,6,20.0,0,0,0,0,2,1,14,28/4/2021,19/9/2021
7,248,247,5,100,6,70.0,0,0,0,0,2,1,14,28/4/2021,19/9/2021
7,258,257,6,100,5,30.0,0,0,0,0,1,2,15,28/4/2021,19/9/2021
8,128,128,1,100,0,,2,0,0,0,0,0,1,31/4/2021,22/9/2021
8,138,138,2,100,0,,0,2,0,0,0,0,4,31/4/2021,22/9/2021
8,145,145,2,100,0,,0,2,0,0,0,0,4,31/4/2021,22/9/2021
8,150,151,2,100,0,,0,2,0,0,0,0,4,31/4/2021,22/9/2021
8,155,155,2,100,0,,0,2,0,0,0,0,4,31/4/2021,22/9/2021
8,160,161,2,100,0,,0,2,0,0,0,0,4,31/4/2021,22/9/2021
8,180,180,3,100,0,,0,0,2,0,0,0,7,31/4/2021,22/9/2021
8,188,189,3,100,0,,0,0,2,0,0,0,7,31/4/2021,22/9/2021
8,190,189,3,100,0,,0,0,2,0,0,0,7,31/4/2021,22/9/2021
8,198,198,3,100,4,100.0,0,0,2,1,0,0,8,31/4/2021,22/9/2021
8,205,205,4,100,5,20.0,0,0,0,2,1,0,11,31/4/2021,22/9/2021
8,220,220,4,100,5,60.0,0,0,0,2,1,0,11,31/4/2021,22/9/2021
8,230,231,5,100,4,60.0,0,0,0,1,2,0,12,31/4/2021,22/9/2021
8,238,239,5,100,4,30.0,0,0,0,1,2,0,12,31/4/2021,22/9/2021
8,240,239,5,100,4,30.0,0,0,0,1,2,0,12,31/4/2021,22/9/2021
8,248,248,5,100,6,30.0,0,0,0,0,2,1,14,31/4/2021,22/9/2021
8,260,260,6,100,5,100.0,0,0,0,0,1,2,15,31/4/2021,22/9/2021
9,123,123,1,100,0,,2,0,0,0,0,0,1,21/4/2021,18/9/2021
9,130,131,2,100,0,,0,2,0,0,0,0,4,21/4/2021,18/9/2021
9,140,140,2,100,0,,0,2,0,0,0,0,4,21/4/2021,18/9/2021
9,148,148,2,100,0,,0,2,0,0,0,0,4,21/4/2021,18/9/2021
9,153,153,2,100,0,,0,2,0,0,0,0,4,21/4/2021,18/9/2021
9,158,159,2,100,0,,0,2,0,0,0,0,4,21/4/2021,18/9/2021
9,160,159,2,100,0,,0,2,0,0,0,0,4,21/4/2021,18/9/2021
9,168,167,3,70,2,30.0,0,1,2,0,0,0,6,21/4/2021,18/9/2021
9,173,174,3,100,0,,0,0,2,0,0,0,7,21/4/2021,18/9/2021
9,175,174,3,100,0,,0,0,2,0,0,0,7,21/4/2021,18/9/2021
9,183,184,4,80,3,20.0,0,0,1,2,0,0,9,21/4/2021,18/9/2021
9,185,184,4,80,3,20.0,0,0,1,2,0,0,9,21/4/2021,18/9/2021
9,193,193,4,100,5,30.0,0,0,0,2,1,0,11,21/4/2021,18/9/2021
9,200,201,4,100,5,50.0,0,0,0,2,1,0,11,21/4/2021,18/9/2021
9,215,215,5,100,4,80.0,0,0,0,1,2,0,12,21/4/2021,18/9/2021
9,223,223,5,100,4,90.0,0,0,0,1,2,0,12,21/4/2021,18/9/2021
9,235,235,5,100,6,10.0,0,0,0,0,2,1,14,21/4/2021,18/9/2021
9,245,246,5,100,6,30.0,0,0,0,0,2,1,14,21/4/2021,18/9/2021
9,255,256,5,100,6,90.0,0,0,0,0,2,1,14,21/4/2021,18/9/2021
10,123,124,1,100,0,,2,0,0,0,0,0,1,22/4/2021,16/9/2021
